SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,539843,EQUITY,0,NINSYS,1,NINtec Systems,,,,5,NA,ES,B,NINtec Systems Limited
BSE,E,539871,EQUITY,0,THYROCARE,1,Thyrocare Technologies,,,,5,NA,ES,B,Thyrocare Technologies Li
BSE,E,539872,EQUITY,0,BAJAJHCARE,1,Bajaj HealthCare,,,,5,NA,ES,B,Bajaj Healthcare Limited
BSE,E,539876,EQUITY,0,CROMPTON,1,Crompton Greaves,,,,5,NA,ES,A,Crompton Greaves Consumer
BSE,E,539883,EQUITY,0,PILANIINVS,1,Pilani Investment & Industries,,,,5,NA,ES,B,Pilani Investment And Ind
BSE,E,539889,EQUITY,0,PARAGMILK,1,Parag Milk Foods,,,,5,NA,ES,B,Parag Milk Foods Limited
BSE,E,539917,EQUITY,0,NAGAFERT,1,Nagarjuna Fertilizers & Chemicals,,,,1,NA,ES,B,NAGARJUNA FERTILIZERS AND
BSE,E,539945,EQUITY,0,NV20IETF,1,ICICI Pru Nifty 50 Value 20 ETF,,,,1,NA,ETF,B,ICICI Prudential NV20 ETF
BSE,E,539957,EQUITY,0,MGL,1,Mahanagar Gas,,,,5,NA,ES,A,Mahanagar Gas Limited
BSE,E,539978,EQUITY,0,QUESS,1,Quess Corp,,,,5,NA,ES,A,Quess Corp Limited
BSE,E,539980,EQUITY,0,MIDSELIETF,1,ICICI Pru BSE Midcap Select ETF,,,,1,NA,ETF,B,ICICI Prudential BSE Midc
BSE,E,539986,EQUITY,0,COMSYN,1,Commercial Syn Bags,,,,5,NA,ES,B,Commercial Syn Bags Limit
BSE,E,539992,EQUITY,0,LLOYDSENGG,1,Lloyds Engineering Works,,,,1,NA,ES,A,LLOYDS ENGINEERING WORKS 
BSE,E,539997,EQUITY,0,KPL,1,Kwality Pharmaceuticals,,,,5,NA,ES,B,Kwality Pharmaceuticals L
BSE,E,540005,EQUITY,0,LTIM,1,LTI Mindtree,,,,5,NA,ES,A,LTIMindtree Limited
BSE,E,540008,EQUITY,0,BSLSENETFG,1,Aditya Birla Sensex ETF,,,,1,NA,ETF,A,Aditya Birla Sun Life BSE
BSE,E,540025,EQUITY,0,ADVENZYMES,1,Advanced Enzyme Tech,,,,5,NA,ES,A,Advanced Enzyme Technolog
BSE,E,540047,EQUITY,0,DBL,1,Dilip Buildcon,,,,5,NA,ES,A,Dilip Buildcon Limited
BSE,E,540048,EQUITY,0,SPAL,1,SP Apparels,,,,5,NA,ES,B,S.P. Apparels Limited
BSE,E,540061,EQUITY,0,BIGBLOC,1,Bigbloc Construction,,,,1,NA,ES,B,Bigbloc Construction Limi
BSE,E,540065,EQUITY,0,RBLBANK,1,RBL Bank,,,,5,NA,ES,A,RBL Bank Limited
BSE,E,540073,EQUITY,0,BLS,1,BLS International Services,,,,5,NA,ES,A,BLS International Service
BSE,E,540078,EQUITY,0,MITSU,1,Mitsu Chem Plast,,,,5,NA,ES,B,Mitsu Chem Plast Limited
BSE,E,540079,EQUITY,0,SPRAYKING,1,Sprayking,,,,1,NA,ES,B,Sprayking Limited
BSE,E,540115,EQUITY,0,LTTS,1,L&T Technology Services,,,,5,NA,ES,A,L&T Technology Services L
BSE,E,540124,EQUITY,0,GNA,1,GNA Axles,,,,5,NA,ES,B,G N A Axles Limited
BSE,E,540125,EQUITY,0,RADHIKAJWE,1,Radhika Jeweltech,,,,1,NA,ES,B,Radhika Jeweltech Limited
BSE,E,540133,EQUITY,0,ICICIPRULI,1,ICICI Prudential Life Insurance,,,,5,NA,ES,A,ICICI Prudential Life Ins
BSE,E,540136,EQUITY,0,HPL,1,HPL Electric & Power,,,,5,NA,ES,B,HPL Electric & Power Limi
